279,64,450,67,450,111,278,108
379,171,502,158,506,187,382,201
1384,171,1494,178,1493,199,1383,193
1661,334,1683,333,1689,468,1667,469
282,946,402,947,402,973,282,973
1367,440,1448,443,1448,466,1366,463
1685,35,1745,41,1743,67,1683,62
72,53,191,43,193,68,74,78
854,127,1046,128,1046,169,854,168
862,464,1004,461,1005,491,863,493
280,288,343,287,343,305,280,307
436,447,517,446,517,470,436,470
249,982,391,983,391,1011,249,1010
1403,107,1501,108,1501,132,1403,130
363,107,468,110,467,133,362,130
544,131,637,134,636,166,543,163
1319,78,1389,73,1391,111,1322,117
1560,282,1615,278,1616,299,1562,302
1874,47,1925,52,1923,76,1871,71
1273,139,1346,140,1345,164,1273,163
1011,461,1117,465,1115,494,1010,489
773,467,851,466,851,493,773,494
422,949,473,947,473,966,422,968
251,463,311,462,312,479,251,479
0,53,58,50,59,72,0,74
409,986,451,985,452,1007,409,1007
1236,141,1277,141,1276,166,1236,166
