148,520,226,507,230,533,152,546
1619,159,1695,161,1695,189,1619,187
120,274,195,277,194,296,120,293
1308,62,1504,64,1504,105,1308,103
1824,398,1842,396,1850,501,1831,503
1001,64,1215,64,1215,108,1001,108
1525,90,1600,93,1599,118,1524,114
154,489,237,484,238,504,155,509
445,71,615,70,615,93,445,94
1798,391,1853,387,1855,407,1799,411
1522,121,1617,123,1616,155,1521,152
288,98,336,93,339,117,290,122
1587,67,1660,74,1658,95,1585,87
369,972,414,972,413,1000,369,999
1755,116,1821,119,1819,158,1753,154
1603,123,1725,125,1725,152,1602,150
815,64,918,65,918,108,814,108
285,82,337,76,339,95,287,100
489,974,525,974,525,997,489,998
1882,609,1918,610,1917,626,1882,625
373,933,421,934,421,958,373,957
440,934,472,935,472,957,440,956
